Data;Hora;Chuva (mm);Nível (cm);Vazão (m3/s);
02/08/2023;20:45:00;0             ;334             ;181.9;
02/08/2023;21:00:00;0             ;334             ;181.9;
02/08/2023;21:15:00;0             ;334             ;181.9;
02/08/2023;21:30:00;0             ;334             ;181.9;
02/08/2023;21:45:00;0             ;335             ;183.7;
02/08/2023;22:00:00;0             ;336             ;185.6;
02/08/2023;22:15:00;0             ;337             ;187.4;
02/08/2023;22:30:00;0             ;339             ;191.1;
02/08/2023;22:45:00;0             ;341             ;194.9;
02/08/2023;23:00:00;0             ;343             ;198.7;
02/08/2023;23:15:00;0             ;344             ;200.6;
02/08/2023;23:30:00;0             ;345             ;202.5;
02/08/2023;23:45:00;0             ;345             ;202.5;
03/08/2023;00:00:00;0             ;346             ;204.4;
03/08/2023;00:15:00;0             ;347             ;206.3;
03/08/2023;00:30:00;0             ;346             ;204.4;
03/08/2023;00:45:00;0             ;344             ;200.6;
03/08/2023;01:00:00;0             ;341             ;194.9;
03/08/2023;01:15:00;0             ;336             ;185.6;
03/08/2023;01:30:00;0             ;331             ;176.4;
03/08/2023;01:45:00;0             ;326             ;167.5;
03/08/2023;02:00:00;0             ;318             ;153.6;
03/08/2023;02:15:00;0             ;310             ;140.2;
03/08/2023;02:30:00;0             ;301             ;125.8;
03/08/2023;02:45:00;0             ;293             ;113.5;
03/08/2023;03:00:00;0             ;284             ;100.3;
03/08/2023;03:15:00;0             ;277             ;90.5;
03/08/2023;03:30:00;0             ;270             ;81.2;
03/08/2023;03:45:00;0             ;264             ;73.5;
03/08/2023;04:00:00;0             ;259             ;67.3;
03/08/2023;04:15:00;0             ;254             ;61.4;
03/08/2023;04:30:00;0             ;250             ;56.9;
03/08/2023;04:45:00;0             ;247             ;53.5;
03/08/2023;05:00:00;0             ;244             ;50.3;
03/08/2023;05:15:00;0             ;242             ;48.2;
03/08/2023;05:30:00;0             ;240             ;46.1;
03/08/2023;05:45:00;0             ;239             ;45.1;
03/08/2023;06:00:00;0             ;237             ;43;
03/08/2023;06:15:00;0             ;235             ;41;
03/08/2023;06:30:00;0.2             ;234             ;40.1;
03/08/2023;06:45:00;0             ;234             ;40.1;
03/08/2023;07:00:00;0             ;233             ;39.1;
03/08/2023;07:15:00;0             ;232             ;38.2;
03/08/2023;07:30:00;0             ;231             ;37.2;
03/08/2023;07:45:00;0             ;231             ;37.2;
03/08/2023;08:00:00;0             ;231             ;37.2;
03/08/2023;08:15:00;0             ;230             ;36.3;
03/08/2023;08:30:00;0             ;230             ;36.3;
03/08/2023;08:45:00;0             ;230             ;36.3;
03/08/2023;09:00:00;0             ;230             ;36.3;
03/08/2023;09:15:00;0             ;231             ;37.2;
03/08/2023;09:30:00;0             ;233             ;39.1;
03/08/2023;09:45:00;0             ;237             ;43;
03/08/2023;10:00:00;0             ;242             ;48.2;
03/08/2023;10:15:00;0             ;249             ;55.7;
03/08/2023;10:30:00;0             ;258             ;66.1;
03/08/2023;10:45:00;0             ;268             ;78.6;
03/08/2023;11:00:00;0             ;276             ;89.2;
03/08/2023;11:15:00;0             ;283             ;98.9;
03/08/2023;11:30:00;0             ;289             ;107.5;
03/08/2023;11:45:00;0             ;294             ;115;
03/08/2023;12:00:00;0             ;298             ;121.1;
03/08/2023;12:15:00;0             ;300             ;124.2;
03/08/2023;12:30:00;0             ;303             ;128.9;
